library	chr	arm	raw_frag_cnt	z_frag_cnt
lib007	chr7	q	145593	-1.98806163909161
lib007	chr8	p	53989	-1.95403656067562
lib007	chr8	q	171106	-1.98133902243398
lib007	chr9	p	53869	-2.0082613742642
lib007	chr9	q	112164	-1.93542350918299
lib008	chr1	p	149303	-2.11488755705655
lib008	chr1	q	133174	-2.11160268017406
lib008	chr10	p	43545	-2.10357985941574
lib008	chr10	q	110870	-2.12054878048721
lib008	chr11	p	64745	-2.13695862194838
lib008	chr11	q	94600	-2.12834723763644
lib008	chr12	p	35847	-2.12141379007686
lib008	chr12	q	125565	-2.13685874691011
lib008	chr13	q	126555	-2.18317821820712
lib008	chr14	q	117595	-2.1517957496288
lib008	chr15	q	90690	-2.1139963349732
lib008	chr16	p	20655	-2.10491349398002
lib008	chr16	q	57338	-2.12880615268052
lib008	chr17	p	17895	-2.09639070651077
lib008	chr17	q	58953	-2.08151137424609
lib008	chr18	p	21673	-2.13627380730694
lib008	chr18	q	71749	-2.17425479728901
lib008	chr19	p	13321	-2.07035360718761
lib008	chr19	q	25791	-2.12060182600661
lib008	chr2	p	113258	-2.12588999165246
lib008	chr2	q	186536	-2.13474782999187
lib008	chr20	p	29964	-2.15449785378053
lib008	chr20	q	39290	-2.07723175434303
lib008	chr21	q	40842	-2.16551424948206
lib008	chr22	q	29028	-2.04028859487487
lib008	chr3	p	121100	-2.14094636554881
lib008	chr3	q	142839	-2.13975136595322
lib008	chr4	p	56057	-2.15868089229308
lib008	chr4	q	190516	-2.1546073395872
lib008	chr5	p	55673	-2.18119511481835
lib008	chr5	q	170409	-2.14370639625813
lib008	chr6	p	63678	-2.09515333958998
lib008	chr6	q	148084	-2.15583356191938
lib008	chr7	p	70886	-2.14533743471808
lib008	chr7	q	115703	-2.15640150461017
lib008	chr8	p	42168	-2.12977885269474
lib008	chr8	q	136585	-2.1470827714488
lib008	chr9	p	43725	-2.16475951692004
lib008	chr9	q	87881	-2.1056418070177
lib009	chr1	p	204407	-1.88746497690734
lib009	chr1	q	178235	-1.89821634268954
lib009	chr10	p	58802	-1.88603569401152
lib009	chr10	q	151949	-1.88780669693077
lib009	chr11	p	86051	-1.92427621051019
lib009	chr11	q	130020	-1.89488574258074
lib009	chr12	p	46239	-1.934599800411
lib009	chr12	q	169240	-1.91717162232302
lib009	chr13	q	160480	-2.0030818383376
lib009	chr14	q	158240	-1.93261083939053
lib009	chr15	q	125434	-1.87650630932881
lib009	chr16	p	31266	-1.80627613917397
lib009	chr16	q	82443	-1.86239855523764
lib009	chr17	p	27059	-1.80566243117081
lib009	chr17	q	87160	-1.80710322268083
lib009	chr18	p	29549	-1.90193682919026
lib009	chr18	q	92649	-1.97930414309794
lib009	chr19	p	22225	-1.74044201999884
lib009	chr19	q	41046	-1.80467905567493
lib009	chr2	p	151774	-1.91107259524645
lib009	chr2	q	240615	-1.94555654935181
lib009	chr20	p	41443	-1.90974650953683
lib009	chr20	q	60460	-1.77129825278202
lib009	chr21	q	54173	-1.95417341992466
lib009	chr22	q	44367	-1.74895869761059
lib009	chr3	p	162894	-1.91904724479644
lib009	chr3	q	185095	-1.94691047271073
lib009	chr4	p	73568	-1.95364339845321
lib009	chr4	q	234284	-1.99972660229335
lib009	chr5	p	72493	-1.97982490293486
lib009	chr5	q	224092	-1.93961426092484
lib009	chr6	p	87362	-1.86752141311679
lib009	chr6	q	188683	-1.97414626570227
lib009	chr7	p	93981	-1.93447220526602
lib009	chr7	q	151564	-1.95443308984399
lib009	chr8	p	57526	-1.90145213576473
lib009	chr8	q	176771	-1.95413997437138
lib009	chr9	p	54663	-1.99601181538519
lib009	chr9	q	121933	-1.8669450447615
lib010	chr1	p	195228	-1.92534810450588
lib010	chr1	q	171739	-1.92897814665083
lib010	chr10	p	55734	-1.92978122061964
lib010	chr10	q	143665	-1.93474151569904
lib010	chr11	p	83633	-1.94841335830225
lib010	chr11	q	125267	-1.92621387600817
lib010	chr12	p	45843	-1.9417185783082
lib010	chr12	q	163302	-1.94704001718961
lib010	chr13	q	161598	-1.99714675351242
lib010	chr14	q	152612	-1.96296076373106
lib010	chr15	q	117160	-1.93306262040933
lib010	chr16	p	28174	-1.89329778662099
lib010	chr16	q	75777	-1.93313637816352
lib010	chr17	p	24027	-1.90185275535575
lib010	chr17	q	78151	-1.89474611407131
lib010	chr18	p	27702	-1.9568911713159
lib010	chr18	q	91583	-1.98924755923994
lib010	chr19	p	18911	-1.86323256356842
lib010	chr19	q	36633	-1.89606989051424
lib010	chr2	p	146956	-1.9379442905389
lib010	chr2	q	236685	-1.95930535633633
lib010	chr20	p	39864	-1.94341341192909
lib010	chr20	q	53626	-1.87005826929917
lib010	chr21	q	53048	-1.97200842354419
lib010	chr22	q	39068	-1.84960131613875
lib010	chr3	p	157140	-1.94959726491438
lib010	chr3	q	182922	-1.95682724810395
lib010	chr4	p	73017	-1.96009509504997
lib010	chr4	q	240415	-1.97803098448243
lib010	chr5	p	72368	-1.98132141164386
lib010	chr5	q	219735	-1.95617871212256
lib010	chr6	p	82272	-1.91644247821342
lib010	chr6	q	188583	-1.97459378238056
lib010	chr7	p	91213	-1.95974498964027
lib010	chr7	q	148888	-1.96950426683053
lib010	chr8	p	55015	-1.93878306337322
lib010	chr8	q	175847	-1.95857632395829
lib010	chr9	p	55914	-1.97671181770553
lib010	chr9	q	114932	-1.91602045979015
lib011	chr1	p	172909	-2.01746200851194
lib011	chr1	q	152428	-2.02042537514472
lib011	chr10	p	50046	-2.01088440032858
lib011	chr10	q	126911	-2.02966497702732
lib011	chr11	p	73859	-2.04598014180909
lib011	chr11	q	109321	-2.03131768741862
lib011	chr12	p	40697	-2.03422673754805
lib011	chr12	q	144712	-2.04054851509628
lib011	chr13	q	143546	-2.09297873138728
lib011	chr14	q	135884	-2.0531692808541
lib011	chr15	q	104229	-2.02145150832113
lib011	chr16	p	24531	-1.99582684925019
lib011	chr16	q	67331	-2.02276308869938
lib011	chr17	p	21325	-1.98757381602451
lib011	chr17	q	70354	-1.97059822020647
lib011	chr18	p	24601	-2.04915614962212
lib011	chr18	q	81256	-2.08557556908832
lib011	chr19	p	16611	-1.94845231317918
lib011	chr19	q	31572	-2.00088045365083
lib011	chr2	p	129770	-2.03379670965391
lib011	chr2	q	210660	-2.05035184533682
lib011	chr20	p	34571	-2.05626896250683
lib011	chr20	q	46942	-1.96665059449679
lib011	chr21	q	46555	-2.0749441377679
lib011	chr22	q	34384	-1.93856338920648
lib011	chr3	p	138389	-2.04915295265012
lib011	chr3	q	161793	-2.0532522583586
lib011	chr4	p	63629	-2.0700198276277
lib011	chr4	q	212385	-2.07722005106867
lib011	chr5	p	62810	-2.09575045356909
lib011	chr5	q	193890	-2.0544362841228
lib011	chr6	p	73729	-1.99855105564377
lib011	chr6	q	167388	-2.06944494234316
lib011	chr7	p	81269	-2.05053710229112
lib011	chr7	q	131247	-2.06885801616519
lib011	chr8	p	48901	-2.02967963501732
lib011	chr8	q	154688	-2.06016584875203
lib011	chr9	p	48812	-2.08627903075184
lib011	chr9	q	101731	-2.00855646233168
lib012	chr1	p	214935	-1.84401432135038
lib012	chr1	q	188929	-1.84757491233825
lib012	chr10	p	61953	-1.84110669976699
lib012	chr10	q	158218	-1.85228830257318
lib012	chr11	p	90719	-1.87767893760146
lib012	chr11	q	134507	-1.86531087729799
lib012	chr12	p	50516	-1.85771340377889
lib012	chr12	q	176916	-1.87856101285925
lib012	chr13	q	176730	-1.91681607052979
lib012	chr14	q	167833	-1.88087899429481
lib012	chr15	q	128761	-1.85376484849186
lib012	chr16	p	29568	-1.85406487053394
lib012	chr16	q	82609	-1.86063700729199
lib012	chr17	p	26081	-1.83668952122782
lib012	chr17	q	86519	-1.81333910828204
lib012	chr18	p	30521	-1.87301662315555
lib012	chr18	q	99518	-1.91523160512481
lib012	chr19	p	20458	-1.80591301893893
lib012	chr19	q	39244	-1.84199749763741
lib012	chr2	p	160994	-1.85964938424677
lib012	chr2	q	261207	-1.87351699886197
lib012	chr20	p	42724	-1.8824334620609
lib012	chr20	q	58094	-1.80548997052852
lib012	chr21	q	57408	-1.90288787618314
lib012	chr22	q	42893	-1.77695402120193
lib012	chr3	p	170871	-1.8766945318175
lib012	chr3	q	200981	-1.87441259240852
lib012	chr4	p	78105	-1.90051935587703
lib012	chr4	q	265163	-1.89045584998809
lib012	chr5	p	77354	-1.92162867225914
lib012	chr5	q	240629	-1.87674386169218
lib012	chr6	p	92270	-1.82034958846173
lib012	chr6	q	206832	-1.89292646376024
lib012	chr7	p	99633	-1.88286751694115
lib012	chr7	q	162240	-1.89430607732221
lib012	chr8	p	59831	-1.86718380118186
lib012	chr8	q	192045	-1.88080577135141
lib012	chr9	p	60305	-1.90896898012649
lib012	chr9	q	125789	-1.83991536323736
lib013	chr1	p	164243	-2.05322790716854
lib013	chr1	q	146140	-2.05020219523533
lib013	chr10	p	47587	-2.0459464113877
lib013	chr10	q	121825	-2.05848082544057
lib013	chr11	p	70920	-2.07531805635039
lib013	chr11	q	104885	-2.06055639978641
lib013	chr12	p	39238	-2.06045476015414
lib013	chr12	q	138070	-2.07395806017945
lib013	chr13	q	138082	-2.12198526402124
lib013	chr14	q	130047	-2.08464627239207
lib013	chr15	q	99268	-2.05536205452255
lib013	chr16	p	22803	-2.04445990448578
lib013	chr16	q	62977	-2.06896658120152
lib013	chr17	p	19936	-2.0316398979153
lib013	chr17	q	65629	-2.01656477163505
lib013	chr18	p	23561	-2.08009957994733
lib013	chr18	q	78146	-2.11458497265455
lib013	chr19	p	15342	-1.99547138372529
lib013	chr19	q	30102	-2.03132335580668
lib013	chr2	p	124352	-2.06401481780968
lib013	chr2	q	203467	-2.07551601038506
lib013	chr20	p	32806	-2.09390169380661
lib013	chr20	q	44286	-2.00503318212769
lib013	chr21	q	44923	-2.10081678301865
lib013	chr22	q	32208	-1.97989162810387
lib013	chr3	p	132529	-2.08026576424052
lib013	chr3	q	156329	-2.07818795129397
lib013	chr4	p	61273	-2.09760639238623
lib013	chr4	q	207765	-2.09356873061303
lib013	chr5	p	61159	-2.11551634059761
lib013	chr5	q	186791	-2.08142527633134
lib013	chr6	p	70643	-2.02821125346071
lib013	chr6	q	161644	-2.09515030034387
lib013	chr7	p	77196	-2.08772498189961
lib013	chr7	q	126038	-2.09819499707807
lib013	chr8	p	46141	-2.07071243477815
lib013	chr8	q	149215	-2.08644305793942
lib013	chr9	p	47506	-2.10642754951254
lib013	chr9	q	95948	-2.0490939748457
lib014	chr1	p	212975	-1.85210353914024
lib014	chr1	q	188215	-1.85095605889434
lib014	chr10	p	60953	-1.85536534598868
lib014	chr10	q	158784	-1.84908150544344
lib014	chr11	p	91857	-1.86631910543134
lib014	chr11	q	135627	-1.85792869563615
lib014	chr12	p	50123	-1.8647782515405
lib014	chr12	q	177117	-1.87754997423207
lib014	chr13	q	176727	-1.91683199651769
lib014	chr14	q	167048	-1.88511223711771
lib014	chr15	q	128556	-1.85516611073159
lib014	chr16	p	29864	-1.84573420829451
lib014	chr16	q	83597	-1.850152613495
lib014	chr17	p	26488	-1.82377742955788
lib014	chr17	q	85527	-1.82298965198937
lib014	chr18	p	30318	-1.87905654272864
lib014	chr18	q	100830	-1.90299355448851
lib014	chr19	p	19988	-1.82332748951156
lib014	chr19	q	39004	-1.84696776737714
lib014	chr2	p	161265	-1.85813792110351
lib014	chr2	q	261326	-1.87310068638585
lib014	chr20	p	43104	-1.87433123095954
lib014	chr20	q	58759	-1.79587987234533
lib014	chr21	q	57709	-1.89811602188137
lib014	chr22	q	42566	-1.78316465269064
lib014	chr3	p	170987	-1.87607864680991
lib014	chr3	q	199741	-1.88007149783309
lib014	chr4	p	79254	-1.88706563647654
lib014	chr4	q	263819	-1.89521182949191
lib014	chr5	p	78475	-1.90820798215679
lib014	chr5	q	241049	-1.87514710486339
lib014	chr6	p	90351	-1.83879350278795
lib014	chr6	q	206292	-1.89534305382299
lib014	chr7	p	101070	-1.86974721667171
lib014	chr7	q	161835	-1.89658702899618
lib014	chr8	p	60055	-1.8638536029404
lib014	chr8	q	192091	-1.8805849141209
lib014	chr9	p	60500	-1.9059605872028
lib014	chr9	q	125183	-1.84416328517814
lib015	chr1	p	141605	-2.14665837264142
lib015	chr1	q	121910	-2.16494334517097
lib015	chr10	p	40937	-2.14076640876189
lib015	chr10	q	104080	-2.15901901460558
lib015	chr11	p	58597	-2.19832966604497
lib015	chr11	q	89677	-2.1607958807804
lib015	chr12	p	31416	-2.20106860033566
lib015	chr12	q	116543	-2.18223979414594
lib015	chr13	q	107733	-2.28309786631041
lib015	chr14	q	107676	-2.20528560384588
lib015	chr15	q	86626	-2.14177550444761
lib015	chr16	p	22091	-2.06449852446711
lib015	chr16	q	58087	-2.12085796345588
lib015	chr17	p	19247	-2.05349845113543
lib015	chr17	q	61384	-2.05786170514073
lib015	chr18	p	20370	-2.17504235510862
lib015	chr18	q	62225	-2.26309259779216
lib015	chr19	p	16317	-1.95934562030334
lib015	chr19	q	29659	-2.04049764536794
lib015	chr2	p	104238	-2.17619773169769
lib015	chr2	q	163139	-2.216600460276
lib015	chr20	p	28466	-2.18643770164855
lib015	chr20	q	42717	-2.02770723332982
lib015	chr21	q	36994	-2.22651788852916
lib015	chr22	q	31715	-1.98925505722906
lib015	chr3	p	111773	-2.19046670577127
lib015	chr3	q	124770	-2.22221165798272
lib015	chr4	p	49654	-2.23365405619329
lib015	chr4	q	156002	-2.27674117633916
lib015	chr5	p	48499	-2.26708274264547
lib015	chr5	q	151703	-2.2148229039709
lib015	chr6	p	60575	-2.12497692799761
lib015	chr6	q	126424	-2.25276567443601
lib015	chr7	p	63519	-2.21260065815923
lib015	chr7	q	102283	-2.23198266872054
lib015	chr8	p	39738	-2.16590555683199
lib015	chr8	q	119975	-2.22683143664205
lib015	chr9	p	36578	-2.27502097448719
lib015	chr9	q	84256	-2.13105223116837
lib016	chr1	p	117851	-2.24469473967221
lib016	chr1	q	101216	-2.26293976930502
lib016	chr10	p	34600	-2.2311234498687
lib016	chr10	q	87108	-2.25517760274355
lib016	chr11	p	46948	-2.31461322048238
lib016	chr11	q	74236	-2.2625711192094
lib016	chr12	p	24828	-2.31949917807996
lib016	chr12	q	95671	-2.28722684999899
lib016	chr13	q	84354	-2.40720909003833
lib016	chr14	q	88054	-2.31110049642049
lib016	chr15	q	73260	-2.23313780247786
lib016	chr16	p	20382	-2.11259684124814
lib016	chr16	q	50548	-2.20085983069833
lib016	chr17	p	17460	-2.11019109932754
lib016	chr17	q	53459	-2.13495904272199
lib016	chr18	p	17366	-2.26442126347105
lib016	chr18	q	49987	-2.37724599999265
lib016	chr19	p	15407	-1.99306299949716
lib016	chr19	q	27838	-2.07820956701815
lib016	chr2	p	84046	-2.28881567925793
lib016	chr2	q	129548	-2.33411602653981
lib016	chr20	p	23601	-2.29016758140685
lib016	chr20	q	38357	-2.09071479435042
lib016	chr21	q	30334	-2.33210110995683
lib016	chr22	q	29400	-2.03322328932807
lib016	chr3	p	89965	-2.30625308719845
lib016	chr3	q	98145	-2.34371839744177
lib016	chr4	p	40264	-2.34360220690749
lib016	chr4	q	117713	-2.41223351206946
lib016	chr5	p	38536	-2.38636047278788
lib016	chr5	q	119671	-2.33660222478002
lib016	chr6	p	50101	-2.22564475428879
lib016	chr6	q	98933	-2.37579248446346
lib016	chr7	p	51061	-2.3263464485257
lib016	chr7	q	82579	-2.34295519164385
lib016	chr8	p	33306	-2.26152982062245
lib016	chr8	q	95153	-2.34600791872675
lib016	chr9	p	28053	-2.40654174204841
lib016	chr9	q	70730	-2.22586640966823
lib017	chr1	p	148945	-2.11636507744878
lib017	chr1	q	131366	-2.12016446304999
lib017	chr10	p	42888	-2.11294778998339
lib017	chr10	q	110462	-2.1228603939659
lib017	chr11	p	64188	-2.14251875069948
lib017	chr11	q	94647	-2.12803744965599
lib017	chr12	p	35277	-2.13166051583798
lib017	chr12	q	125909	-2.13512841214519
lib017	chr13	q	123326	-2.20031988985336
lib017	chr14	q	117245	-2.15368318273455
